session,duration_s,actual_dur_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vtb5.parquet,60,63.0,zupt_v1,5292.3,1565.1960865405767,6.241666666666666,80.91144260721842
S-Vtb5.parquet,120,126.0,gyro_only,5526.3,1910.8140251583718,4.94113794889632,45.463941378662014
S-Vtb5.parquet,120,126.0,zupt_v1,5526.3,3093.2484277307312,6.388888888888888,45.463941378662014
S-Vtb5.parquet,120,126.0,gyro_only,1574.3,1645.6176406467114,0.8899725214029472,108.81716149259277
S-Vtb5.parquet,120,126.0,zupt_v1,1574.3,2067.8478460498945,3.944444444444444,108.81716149259277
S-Vtb5.parquet,120,126.0,gyro_only,4149.3,2503.123457913308,5.870700907970459,72.32364173128435
S-Vtb5.parquet,120,126.0,zupt_v1,4149.3,3160.9273410858364,6.594444444444444,72.32364173128435
S-Vtb5.parquet,120,126.0,gyro_only,3177.3,2076.307106522098,1.9361155453163956,69.44014674580578
S-Vtb5.parquet,120,126.0,zupt_v1,3177.3,3289.457942497914,7.697222222222222,69.44014674580578
S-Vtb5.parquet,120,126.0,gyro_only,809.3,19.04397745199037,17.952191641365125,58.90525156164212
S-Vtb5.parquet,120,126.0,zupt_v1,809.3,1179.5619944276596,2.8484450629446894,58.90525156164212
S-Vtb5.parquet,120,126.0,gyro_only,1376.3,760.5575902022463,8.233858877348455,70.9986766675816
S-Vtb5.parquet,120,126.0,zupt_v1,1376.3,1657.3484644452794,4.661111111111111,70.9986766675816
S-Vtb5.parquet,120,126.0,gyro_only,4365.3,2170.1169013230888,3.3662331199843396,1.425564885415298
S-Vtb5.parquet,120,126.0,zupt_v1,4365.3,2864.611003794352,6.019444444444445,1.425564885415298
S-Vtb5.parquet,120,126.0,gyro_only,5211.3,2337.5017710453903,13.847425305596886,72.51173443285029
S-Vtb5.parquet,120,126.0,zupt_v1,5211.3,3175.9029525633982,7.2,72.51173443285029
S-Vtb5.parquet,300,306.0,gyro_only,2511.3,1794.8236229992915,25.526014768452995,4.938610514828156
S-Vtb5.parquet,300,306.0,zupt_v1,2511.3,2020.9420418220561,3.6527777777777777,4.938610514828156
S-Vtb5.parquet,300,306.0,gyro_only,3870.3,7560.7594350522895,0.50132600607526,101.60197385327803
S-Vtb5.parquet,300,306.0,zupt_v1,3870.3,8085.555986526831,7.722744289515988,101.60197385327803
S-Vtb5.parquet,300,300.0,gyro_only,1736.3,947.6485188148514,14.437939080571349,56.50643932706913
S-Vtb5.parquet,300,300.0,zupt_v1,1736.3,3133.3092291648636,1.9583333333333333,56.50643932706913
S-Vtb5.parquet,300,306.0,gyro_only,3510.3,619.8612784533632,2.5407278576458516,47.90087966274541
S-Vtb5.parquet,300,306.0,zupt_v1,3510.3,3641.9726646969357,6.563888888888888,47.90087966274541
S-Vtb5.parquet,300,306.0,gyro_only,5355.3,6086.916114511972,4.91817697192377,108.10194704224921
S-Vtb5.parquet,300,306.0,zupt_v1,5355.3,7010.957258924639,5.802777777777778,108.10194704224921
S-Vtb5.parquet,300,306.0,gyro_only,2844.3,4041.4695498320775,16.65214299343205,40.68827729315473
S-Vtb5.parquet,300,306.0,zupt_v1,2844.3,7794.909033967143,7.9638888888888895,40.68827729315473
S-Vtb5.parquet,300,306.0,gyro_only,4617.3,4092.822395006151,0.1580851891097934,16.58054494757843
S-Vtb5.parquet,300,306.0,zupt_v1,4617.3,4875.99648254046,4.597222222222222,16.58054494757843
