t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
32463,7.0249999999999995,6.179709655761719,5.222709655761719,5.465061283001037,5.812161889606668
32473,7.0249999999999995,5.447260601043701,4.490260601043701,5.592812109106891,5.522364546674069
32483,7.0249999999999995,6.753454429626465,5.796454429626465,4.974385385760426,5.8329083605245655
32493,7.1722222222222225,5.565840465545654,4.608840465545654,5.918113799149168,5.747854730819343
32503,7.1722222222222225,5.177564842224121,4.220564842224121,5.246521321151165,5.213245359615942
32513,7.1722222222222225,5.73134778213501,4.77434778213501,5.055759442482344,5.3814942335075635
32523,7.1722222222222225,5.631891471862793,4.674891471862793,5.149338873555034,5.382360974460585
32533,7.1722222222222225,5.5673577613830565,4.610357761383057,5.204288953232994,5.379914537078798
32543,7.1722222222222225,5.556560260772705,4.599560260772705,5.556642081481622,5.556603551425529
32553,7.1722222222222225,5.120564682006836,4.163564682006836,5.15806127167359,5.139921379380181
32563,7.1722222222222225,3.7340562171936034,2.7770562171936035,5.454232536961053,4.621750708103206
32573,7.1722222222222225,3.2521533794403075,2.2951533794403076,5.095556842486429,4.205073846530991
32583,7.347222222222221,4.71569870185852,3.7586987018585205,4.838576271827417,4.77949212494229
32593,7.347222222222221,4.71402953338623,3.7570295333862305,4.24821524543678,4.470772457390487
32603,7.347222222222221,4.090020162582397,3.1330201625823975,4.339723743001802,4.220070803749586
32613,7.347222222222221,4.362063390731811,3.4050633907318115,3.981999914493771,4.165747967211828
32623,7.347222222222221,4.6139886207580565,3.6569886207580566,3.6416916396059618,4.112848392949325
32633,7.347222222222221,6.912735683441162,5.955735683441162,3.0471944764311725,4.919909516870212
32643,7.347222222222221,6.9100186653137206,5.953018665313721,4.745522115047127,5.7938815588061505
32653,7.347222222222221,4.694244844436645,3.7372448444366455,5.519052114144197,5.119463746075455
32663,7.347222222222221,6.705982429504394,5.7489824295043945,4.996778148653036,5.823335512220343
32673,6.788888888888889,6.527323944091797,5.570323944091797,6.012803714303703,6.261419605846327
32683,6.788888888888889,5.239997608184814,4.2829976081848145,6.297253603655685,5.786439988558686
32693,6.788888888888889,5.076641304016113,4.119641304016113,5.5734774206777145,5.333925872433987
32703,6.788888888888889,6.062021476745605,5.1050214767456055,5.257676554432451,5.645402389696569
32713,6.788888888888889,6.15289900970459,5.19589900970459,5.45330631469778,5.790663640720196
32723,6.788888888888889,4.65200732421875,3.69500732421875,5.261608902538349,4.966788376541929
32733,6.788888888888889,4.2687504119873045,3.3117504119873047,5.074575005511746,4.684133366109551
32743,6.788888888888889,4.84301803779602,3.8860180377960205,4.827121061955864,4.834823108743875
32753,6.788888888888889,4.951481801986694,3.9944818019866943,4.652377462360923,4.797210112110956
32763,7.116666666666667,4.896122676849365,3.9391226768493652,4.65925183664723,4.7739821863375
32773,7.116666666666667,4.39917324256897,3.4421732425689697,4.936126824218098,4.675539188978437
32783,7.116666666666667,4.063496334075928,3.1064963340759277,4.65266180516194,4.367835181090063
